"Name","Description","Fun Fact 1","Fun Fact 2","Fun Fact 3"
"Affenpinscher Dog Breed ","The Affenpinscher, whose name translated from German means “monkey-like terrier”, is one of the most ancient of all toy breeds. Also known as the Monkey Pinscher, the Monkey Dog, the Monkey Terrier, the Black-Mustached Devil or simply the Affen, this is a lively, sturdy little dog whose intelligence, disposition and size make it a wonderful house dog and companion. The Affenpinscher has a neat but shaggy appearance with an endearing facial expression accentuated by a flat face, a prominent chin, bushy eyebrows, a mustache and a beard. The Affenpinscher is known for being courageous, reliable and inquisitive. Legend has it that one Affen faced up to an angry stallion, and another confronted a grown grizzly bear on a trip with its owner to the Alaskan wilderness. The Affenpinscher was recognized by the American Kennel Club in 1936, as a member of the Toy Group.","Affenpinschers were originally bred in Germany in the 1600’s as ratters to work in kitchens, barns, and store houses to control rodent populations. It was not until the 1700 and 1800’s that miniaturized versions were welcomed into homes as house pets.","The Affenpinscher dog breed has a temperament and personality that is friendly, playful and inquisitive. While the Affenpinscher is a good watch dog, they tend be poor guard dogs.","The average Affenpinscher stands about 9-12 inches high and weighs on average between 7-8 pounds.  They have a dense, harsh coat about 1 inch in length with a rough mane of longer hair.  A correct coat requires minimal grooming other than a good brushing several times a week and an occasional bath and trim."
"Afghan Hound Dog Breed ","The Afghan Hound, also known as the Afghan Greyhound or simply the Afghan, is today usually referred to by breeders and fanciers as the “Affie.” Earlier names include the Balkh Greyhound, Baluchi Hound, Barukzie Hound, Barukhzy Greyhound and Kabuli Hound, among others. This is an ancient breed categorized in the Hound Group by the American Kennel Club. Afghans are elegant, aristocratic dogs that exude dignity and aloofness. They have a narrow, chiseled muzzle and a unique topknot of silky hair set between lengthy ears. With prominent hipbones and a spectacular thick, flowing coat, there is something exotic about this breed. They are prized as flashy show dogs and also excel in lure coursing. Above all, Afghan Hounds are known as beloved companions, with highly individualized personalities. They can be independent thinkers, with a strong prey drive.","History and Health of the Afghan Hound Dog Breed: The Afghan Hound breed originated in Afghanistan where they were bred to hunt rabbits and gazelles; this is most likely why these breeds are extremely quick and agile when they need to be or when they feel like playing.","The Afghan Hound dog breed has a temperament and personality that is sensitive, sometimes shy, aloof, and aristocratic. While this breed is very graceful, they are also known to enjoy a few moments of frolicking play.","Appearance & Grooming of the Afghan Hound Dog Breed:  The average Afghan Hound stands 27-29 inches high, and weighs between 45-65 pounds.  Their medium length coat requires regular brushing to reduce mats and dirt accumulation.  Their coat may be any color, but white markings, particularly on the head, are discouraged. The long, fine-textured coat requires considerable care and grooming."
"Airedale Terrier Dog Breed ","The Airedale Terrier, also known as the Waterside Terrier, the Yorkshire, the Bingley Terrier, the Warfedale Terrier, the Broken-haired Terrier and the Working Terrier, is a hardy, water-loving dog that is the largest of all terriers. Its name comes from a small otter-river, the Aire, in northern England. The Airedale is known for its extreme intelligence, dense wiry double coat, high energy level and tenacity. This breed is peaceful unless provoked; they are said not to pick a fight, but always to finish one. Airedales will fight furiously to protect home and family and typically are better with people than with other dogs. If not properly socialized and trained from a young age, Airedales may exercise their intense prey drive on smaller dogs and cats. Without regular exercise, they can become destructive. Male Airedale Terriers should be 23 to 24 inches in height and weigh between 50 and 65 pounds. Female Airedales should be 22 to 23 inches tall at the shoulder and between 40 and 45 pounds in weight. Fairly intensive grooming is a lifelong requirement to keep an Airedale’s coat and skin in good condition. They do not shed as much as many other dogs, but they do shed their entire coats twice a year.  Acceptable coat colors are tan and black, and tan and grizzle.  The Airedale was accepted into the American Kennel Club’s Terrier Group in 1888.","The average Airedale Terrier stands about 22-24 inches high and weighs between 40-50 pounds. Fairly intensive grooming is a lifelong requirement to keep an Airedale’s coat and skin in good condition. They do not shed as much as many other dogs, but they do shed their entire coats twice a year.","The Airedale Terrier was originally bred to hunt otters in the Aire region of England.  Their intelligence, quick wit, agility, and high energy led them to quickly become a dog that could fulfill many roles and jobs.","The Airedale Terrier dog breed has a personality and temperament that is inquisitive, playful, and willful. The Airedale Terrier can make a good watch dog, as well as a good guard dog.  These dogs can be a challenge because they are so smart, and can easily become bored if they do not have consistent exercise and mental stimulation."
"Akita Inu Dog Breed ","The Akita, also known as the Akita Inu, the Japanese Akita, the Japanese Deerhound, the Shishi Inu and the Nippon Inu, was recognized as part of Japan’s national heritage in 1931, and is treated as a national monument.  Well-bred Akitas are affectionate with friends and family members and thrive on human companionship.  They are somewhat reserved with strangers and can be extremely defensive and protective of their family if it is threatened.  Akitas are known to be fearless, brave, intelligent and adaptable if well socialized.  This breed is known for being aggressive towards other dogs.  Helen Keller reportedly brought one of the first Akitas into the United States in 1937.  The Akita is a member of the Working Group and was admitted into the American Kennel Club in 1972.","The average Akita stands about 24-28 inches high and weighs on average between 70-110 pounds. They have a dense, fluffy coat that sheds all year. Regular grooming and brushing can help keep shedding under control, as well as maintain a healthy coat.","While the Akita is from an old breed that originated in Japan, it was not officially recognized as an AKC breed until 1972. Known for its agility and strength, the Akita was bred as a valued hunting dog and companion","The Akita Inu dog breed has a personality and temperament that is alert, faithful, and protective of its family.  While the Akita is not a watch dog, they are excellent guard dogs.  Due to its dominant nature, the Akita does not interact well with other dogs."
"Alaskan Malamute Dog Breed ","The Alaskan Malamute, also called simply the Malamute and nicknamed the “Mal,” is one of the oldest Arctic sled-dog breeds. Its name comes from the Mahlemuts, an Inuit tribe that settled in northwestern Alaska long before it was part of the United States. This breed is sometimes confused with the Siberian Husky because of its similar type and color. However, the Alaskan Malamute is much larger and has a more powerful build, a more outgoing disposition, a denser and harsher double coat and a bushier, plume-like tail, among other breed differences.","Appearance & Grooming of the Alaskan Malamute Dog Breed:  The average Alaskan Malamute stands 23 to 25 inches at the shoulder and weighs between 75 and 100 pounds. Their thick, double coat requires frequent brushing to keep shedding under control.","History and Health of the Alaskan Malamute Dog Breed: The Alaskan Malamute is a very old breed named after the native Alaskan Mahlemuts tribe. They were prized by Native Americans and bred to transport heavy loads of supplies during the winter months.","The Alaskan Malamute dog breed has a temperament and personality that is playful and easy going.  The Malamute is an alert watchdog and a wonderful family dog that will bond with every member of the household."
"American Staffordshire Terrier Dog Breed ","The American Staffordshire Terrier, at one time called the Bull-and-Terrier Dog, Half-and-Half, Pit Dog or Pit Bullterrier and now commonly known as the ”Am Staff,” is a well-balanced dog whose tremendous strength is unusual for its moderate size. This is the modern version of the so-called “Pit Bull.” Am Staffs are stocky, powerful yet agile, well-muscled and highly intelligent members of the American Kennel Club’s Terrier Group. Although descended from dogs bred for bull baiting and pit fighting, and unfortunately still used by unscrupulous owners in illegal dog fighting circles, American Staffordshire Terriers have many remarkable qualities, including their gameness, trainability, loyalty and affection. The Staffordshire Terrier was accepted for registration in the American Kennel Club Stud Book in 1936. The name of the breed was revised in 1972 to the American Staffordshire Terrier, to distinguish it from the Staffordshire Bull Terrier of England, which is much lighter in weight. The American Pit Bull Terrier and the American Staffordshire Terrier are virtually the same animal, with just different club registrations.","History and Health of the American Staffordshire Terrier Dog Breed: Originally used by butchers to manage bulls and by hunters to help hold wild boar and other game, the AmStaff was developed in England from a cross between old-style English Bulldogs and assorted terriers.","The American Staffordshire Terrier dog breed has a temperament and personality that is kind, companionable, and extremely alert. They form strong bonds with their family, and because of their protective and loving nature, will defend their family if they think they see a threat.","Appearance & Grooming of the American Staffordshire Terrier Dog Breed: Amstaffs stand between 2 to 2.5 feet tall, and they weigh on average between 60 and 80 pounds.  Their short coat is easy to care for and requires only minimal grooming."
"American English Coonhound Dog Breed ","The American English Coonhound, sometimes called the English Coonhound or Redtick Coonhound, is a direct descendant of the English Foxhound.  After Foxhounds were brought to the United States by early settlers in the 1600s, hunters used them to develop a new breed that had the size, speed, stamina and strength to hunt fox, raccoon and other animals, all day or all night, over rough terrain.  American English Coonhounds are athletic animals with sleek silhouettes and powerful bodies.  They are among the fastest of the six recognized Coonhound breeds. Their short, hard coats are easy to maintain, and they come in a variety of well-camouflaged colors that often are “ticked” or flecked. These are kind, intelligent, sociable dogs that make good family pets.  However, above all they love to hunt and are outstanding companions for active hunters.  Because they were bred to live and work peacefully in packs, American English Coonhounds tend to get along extremely well with other dogs. They have the resonant bawl typical of hound dogs, which makes them fairly good watch dogs. ","Appearance & Grooming of the American English Coonhound Dog Breed:  The average American English Coonhound stands between 22 and 27 inches tall and typically weigh somewhere between 40 and 75 pounds.  They shed quite a bit throughout the year and should be brushed regularly.","History and Health of the American English Coonhound Dog Breed: This breed is a direct descendant of the English Foxhound.  After Foxhounds were brought to the United States by early settlers in the 1600s, hunters used them to develop a new breed that had the size, speed, stamina and strength to hunt fox, raccoon and other animals, all day or all night, over rough terrain.","The American English Coonhound Dog Breed has a personality and temperament that is loving and loyal. They interact well with children as long as they and the kids are all properly socialized early in the relationship.  These are sociable dogs, in part due to their history of living and hunting in packs."
"American Eskimo Dog Breed ","The American Eskimo Dog, originally called the American Spitz and now also known as the Eskie, is a Nordic breed recognized by the American Kennel Club in 1993. It was given Non-Sporting Group status and eligibility for full AKC recognition in 1995. Eskies resemble a fluffy cotton ball; their dense double coat is always white or white with biscuit cream, and they have slightly slanted oval eyes that are distinctively rimmed in black. Their face is softly wedge-shaped, and their erect ears are triangular.","Appearance & Grooming of the American Eskimo Dog Breed:  There are three classes of Eskies: toy, miniature and standard, and they range in size from 9 to 19 inches tall and weigh from 6 to 30 pounds. Their double coat sheds year round and requires regular brushing.","History and Health of the American Eskimo Dog Breed: A descendent of several European Spitz Breeds, the American Eskimo Dog gained extreme popularity in the late 19th Century for use as trick dogs in traveling circuses across the United States.","The American Eskimo Dog breed has a temperament and personality that is friendly, watchful and energetic.  The American Eskimo Dog is an alert watchdog but they are not naturally aggressive. Eskies form strong bonds with every member of the family."
"American Foxhound Dog Breed ","The American Foxhound, also known simply as the Foxhound, is one of the few breeds that truly originated in the United States, and is also one of the most rare. It resembles a taller, somewhat lankier version of its ancestor, the English Foxhound. The American Foxhound is known for its keen scent-tracking ability, its affable personality and its song-like voice. This breed typically is too friendly to make a good watchdog, being more likely to welcome strangers into the home rather than sounding an alarm or providing meaningful protection. The American Foxhound was admitted into the American Kennel Club in 1886, as a member of the Hound Group.","Appearance & Grooming of the American Foxhound Dog Breed: American Foxhounds stand from 21 to 25 inches at the shoulder, and weigh 60 to 70 pounds. Their coat is easy to maintain. They shed lightly year round, but weekly brushing with a hound mitt is enough to keep loose hair under control.","History and Health of the American Foxhound Dog Breed: Foxhounds come from a line of hounds that were transported to America in the 1600’s. They were developed specifically for the purpose of trial hounds, fox hounds, pack hounds, and drag hounds which are prized for their speed.","The American Foxhound Dog Breed has a personality and temperament that is friendly and companionable. These are wonderful family dogs; they play well with young children and other animals. While they have an open and friendly personality, American Foxhounds can be difficult to train."
"Pit Bull Terrier Dog Breed ","The American Pit Bull Terrier, also known at times as the Pit Bull, the Pit Bull Terrier, the American Bull, the American Pit Bull, the American Pit Bull Dog, the Pit Dog, the Half-and-Half, the American Bull Terrier, the Yankee Terrier, the Yankee Bull Terrier and the Staffordshire Terrier, descends from the Staffordshire Bull Terrier of England. This is a well-balanced dog whose tremendous strength is unusual for its moderate size. Pit Bulls, who are not recognized by the American Kennel Club, share a common history with the AKC-recognized American Staffordshire Terrier. Pit Bulls, like Am Staffs, are stocky, powerful yet agile, well-muscled and highly intelligent. Although descended from dogs bred for bull baiting and pit fighting, and unfortunately still used by unscrupulous owners in illegal dog fighting circles, Pit Bulls have many remarkable qualities, including their gameness, trainability, loyalty and affection.","Appearance & Grooming of the Pit Bull Terrier Dog Breed:  The average American Pit Bull Terrier stands 18 to 22 inches high at the shoulders and weighs between 35 and 55 pounds. Their short coat is easy to care for and a quick daily brush will help to control any shedding.","History and Health of the Pit Bull Terrier Dog Breed: The American Pit Bull Terrier was developed in the late 1800’s from crosses using a variety of bulldog and terriers. The American Pit Bull Terrier was frequently used as an all around working dog, guard dog, hunting dog, and ratting dog.","The Pit Bull Terrier Dog Breed has a personality and temperament that is companionable and willing to please. If the Pit Bull is not socialized properly it can naturally be aggressive towards other animals, including dogs, but these tendencies can be eliminated as long as the Pit Bull is socialized throughout its lifetime."
